,CrimenProv,PobProv,Comunidad,Provincia,Municipio,code,Delito,Nivel,Enero-diciembre 2016,Enero-diciembre 2017,Enero-diciembre 2018,Enero-diciembre 2019,Enero-diciembre 2020,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,Total,MediaTotal,POB2016,POB2017,POB2018,POB2019,POB2020,TotalPob
0,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,1,Homicidios dolosos y asesinatos consumados,Provincia,1.0,2.0,3.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8.0,1.6,392118,390032,388786,388167,388270,389474.6
1,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,2,Homicidios dolosos y asesinatos en grado tentativa,Provincia,3.0,9.0,7.0,3.0,2.0,0.0,0.0,2.0,1.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0,24.0,4.8,392118,390032,388786,388167,388270,389474.6
2,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,3,Delitos graves y menos graves de lesiones y riña tumultuaria,Provincia,131.0,134.0,112.0,154.0,129.0,36.0,29.0,39.0,27.0,28.0,30.0,38.0,38.0,24.0,27.0,38.0,23.0,34.0,27.0,51.0,42.0,27.0,30.0,42.0,30.0,660.0,132.0,392118,390032,388786,388167,388270,389474.6
3,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,4,Secuestro,Provincia,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.4,392118,390032,388786,388167,388270,389474.6
4,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,5,Delitos contra la libertad e indemnidad sexual,Provincia,64.0,60.0,104.0,115.0,82.0,19.0,16.0,21.0,8.0,11.0,16.0,17.0,16.0,25.0,25.0,34.0,20.0,29.0,34.0,34.0,18.0,17.0,17.0,33.0,15.0,425.0,85.0,392118,390032,388786,388167,388270,389474.6
5,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,6,Robos con violencia e intimidación,Provincia,190.0,195.0,244.0,254.0,142.0,33.0,70.0,56.0,31.0,39.0,63.0,44.0,49.0,33.0,67.0,76.0,68.0,75.0,69.0,65.0,45.0,42.0,14.0,50.0,36.0,1025.0,205.0,392118,390032,388786,388167,388270,389474.6
6,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,7," Robos con fuerza en domicilios, establecimientos y otras instalaciones",Provincia,896.0,1039.0,960.0,939.0,589.0,273.0,191.0,211.0,221.0,297.0,254.0,211.0,277.0,231.0,231.0,271.0,227.0,236.0,183.0,254.0,266.0,170.0,101.0,182.0,136.0,4423.0,884.6,392118,390032,388786,388167,388270,389474.6
7,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,8,Hurtos,Provincia,4028.0,4055.0,3854.0,3498.0,2175.0,888.0,1018.0,1225.0,897.0,889.0,1041.0,1202.0,923.0,811.0,1027.0,1140.0,876.0,844.0,818.0,1013.0,823.0,755.0,287.0,638.0,495.0,17610.0,3522.0,392118,390032,388786,388167,388270,389474.6
8,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,9,Sustracciones de vehículos,Provincia,206.0,122.0,100.0,109.0,83.0,35.0,50.0,54.0,67.0,41.0,29.0,25.0,27.0,23.0,17.0,15.0,45.0,20.0,27.0,41.0,21.0,20.0,12.0,28.0,23.0,620.0,124.0,392118,390032,388786,388167,388270,389474.6
9,ALBACETE,Albacete,CASTILLA - LA MANCHA,ALBACETE,,10,Tráfico de drogas,Provincia,74.0,80.0,77.0,71.0,61.0,9.0,17.0,36.0,12.0,15.0,15.0,32.0,18.0,12.0,25.0,27.0,13.0,13.0,29.0,17.0,12.0,12.0,11.0,24.0,14.0,363.0,72.6,392118,390032,388786,388167,388270,389474.6
10,ALICANTE/ALACANT,Alicante/Alacant,COMUNITAT VALENCIANA,ALICANTE/ALACANT,,1,Homicidios dolosos y asesinatos consumados,Provincia,16.0,10.0,14.0,14.0,17.0,6.0,3.0,3.0,4.0,5.0,0.0,1.0,4.0,2.0,3.0,6.0,3.0,2.0,3.0,7.0,2.0,5.0,3.0,3.0,6.0,71.0,14.2,1836459,1825332,1838819,1858683,1879888,1847836.2
11,ALICANTE/ALACANT,Alicante/Alacant,COMUNITAT VALENCIANA,ALICANTE/ALACANT,,2,Homicidios dolosos y asesinatos en grado tentativa,Provincia,36.0,17.0,26.0,35.0,27.0,1.0,18.0,9.0,8.0,3.0,10.0,2.0,2.0,4.0,9.0,8.0,5.0,6.0,10.0,14.0,5.0,5.0,9.0,7.0,6.0,141.0,28.2,1836459,1825332,1838819,1858683,1879888,1847836.2
12,ALICANTE/ALACANT,Alicante/Alacant,COMUNITAT VALENCIANA,ALICANTE/ALACANT,,3,Delitos graves y menos graves de lesiones y riña tumultuaria,Provincia,690.0,614.0,702.0,766.0,633.0,155.0,170.0,237.0,128.0,125.0,148.0,191.0,150.0,126.0,171.0,241.0,164.0,159.0,156.0,263.0,188.0,158.0,115.0,229.0,131.0,3405.0,681.0,1836459,1825332,1838819,1858683,1879888,1847836.2
13,ALICANTE/ALACANT,Alicante/Alacant,COMUNITAT VALENCIANA,ALICANTE/ALACANT,,4,Secuestro,Provincia,5.0,3.0,1.0,2.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,15.0,3.0,1836459,1825332,1838819,1858683,1879888,1847836.2
14,ALICANTE/ALACANT,Alicante/Alacant,COMUNITAT VALENCIANA,ALICANTE/ALACANT,,5,Delitos contra la libertad e indemnidad sexual,Provincia,464.0,510.0,600.0,677.0,577.0,97.0,113.0,142.0,112.0,105.0,130.0,146.0,129.0,124.0,147.0,194.0,135.0,153.0,175.0,189.0,160.0,125.0,118.0,192.0,142.0,2828.0,565.6,1836459,1825332,1838819,1858683,1879888,1847836.2
15,ALICANTE/ALACANT,Alicante/Alacant,COMUNITAT VALENCIANA,ALICANTE/ALACANT,,6,Robos con violencia e intimidación,Provincia,2064.0,1818.0,1698.0,1665.0,1189.0,483.0,559.0,566.0,456.0,453.0,430.0,503.0,432.0,408.0,353.0,488.0,449.0,357.0,394.0,454.0,460.0,296.0,151.0,418.0,324.0,8434.0,1686.8,1836459,1825332,1838819,1858683,1879888,1847836.2
