,Comunidad,Provincia,Municipio,code,Delito,Nivel,Enero-diciembre 2016,Enero-diciembre 2017,Enero-diciembre 2018,Enero-diciembre 2019,Enero-diciembre 2020,2016Q1,2016Q2,2016Q3,2016Q4,2017Q1,2017Q2,2017Q3,2017Q4,2018Q1,2018Q2,2018Q3,2018Q4,2019Q1,2019Q2,2019Q3,2019Q4,2020Q1,2020Q2,2020Q3,2020Q4,Total,MediaTotal
0,ANDALUCÍA,,,1,Homicidios dolosos y asesinatos consumados,Comunidad,68.0,49.0,72.0,82.0,60.0,16.0,8.0,25.0,19.0,12.0,16.0,12.0,9.0,16.0,24.0,14.0,18.0,15.0,18.0,26.0,23.0,17.0,12.0,18.0,13.0,331.0,66.2
1,ANDALUCÍA,,,2,Homicidios dolosos y asesinatos en grado tentativa,Comunidad,227.0,207.0,190.0,158.0,238.0,45.0,67.0,53.0,62.0,59.0,63.0,53.0,32.0,32.0,46.0,56.0,56.0,31.0,41.0,41.0,45.0,50.0,66.0,74.0,48.0,1020.0,204.0
2,ANDALUCÍA,,,3,Delitos graves y menos graves de lesiones y riña tumultuaria,Comunidad,2911.0,2930.0,2917.0,3459.0,3054.0,644.0,717.0,876.0,674.0,681.0,767.0,826.0,656.0,644.0,685.0,869.0,719.0,725.0,768.0,1054.0,912.0,767.0,588.0,960.0,739.0,15271.0,3054.2
3,ANDALUCÍA,,,4,Secuestro,Comunidad,16.0,15.0,26.0,31.0,23.0,3.0,4.0,4.0,5.0,1.0,9.0,4.0,1.0,7.0,6.0,8.0,5.0,13.0,11.0,2.0,5.0,6.0,6.0,6.0,5.0,111.0,22.2
4,ANDALUCÍA,,,5,Delitos contra la libertad e indemnidad sexual,Comunidad,1837.0,2064.0,2348.0,2516.0,2215.0,416.0,510.0,491.0,420.0,516.0,530.0,538.0,480.0,499.0,669.0,644.0,536.0,599.0,619.0,673.0,625.0,532.0,477.0,656.0,550.0,10980.0,2196.0
5,ANDALUCÍA,,,5.1,Agresión sexual con penetración,Comunidad,185.0,173.0,201.0,261.0,240.0,36.0,43.0,57.0,49.0,33.0,44.0,54.0,42.0,41.0,53.0,60.0,47.0,54.0,59.0,79.0,69.0,57.0,44.0,74.0,65.0,1060.0,212.0
6,ANDALUCÍA,,,5.2,Resto de delitos contra la libertad e indemnidad sexual,Comunidad,1652.0,1891.0,2147.0,2255.0,1975.0,380.0,467.0,434.0,371.0,483.0,486.0,484.0,438.0,458.0,616.0,584.0,489.0,545.0,560.0,594.0,556.0,475.0,433.0,582.0,485.0,9920.0,1984.0
7,ANDALUCÍA,,,6,Robos con violencia e intimidación,Comunidad,7431.0,7668.0,7153.0,7344.0,5208.0,1835.0,1892.0,1917.0,1787.0,1952.0,1793.0,2009.0,1914.0,1717.0,1756.0,1837.0,1843.0,1740.0,1814.0,1870.0,1920.0,1570.0,807.0,1635.0,1196.0,34804.0,6960.8
8,ANDALUCÍA,,,7," Robos con fuerza en domicilios, establecimientos y otras instalaciones",Comunidad,26332.0,24718.0,23032.0,22455.0,17567.0,7075.0,6417.0,6495.0,6345.0,6918.0,6097.0,5990.0,5713.0,6285.0,5472.0,5668.0,5607.0,5729.0,5313.0,5530.0,5883.0,5188.0,3098.0,5140.0,4141.0,114104.0,22820.8
9,ANDALUCÍA,,,7.1,Robos con fuerza en domicilios,Comunidad,18367.0,17276.0,15710.0,15352.0,12118.0,4873.0,4445.0,4755.0,4294.0,4717.0,4244.0,4443.0,3872.0,4229.0,3700.0,4084.0,3697.0,3755.0,3583.0,4002.0,4012.0,3465.0,2263.0,3659.0,2731.0,78823.0,15764.6
10,ANDALUCÍA,,,8,Hurtos,Comunidad,109491.0,103746.0,93290.0,91398.0,57570.0,26458.0,28649.0,29259.0,25125.0,25203.0,26572.0,27676.0,24295.0,22364.0,24454.0,24941.0,21531.0,21638.0,23137.0,24886.0,21737.0,18095.0,7919.0,17918.0,13638.0,455495.0,91099.0
11,ANDALUCÍA,,,9,Sustracciones de vehículos,Comunidad,8835.0,8755.0,6934.0,6543.0,4947.0,2076.0,2110.0,2376.0,2273.0,2278.0,2323.0,2165.0,1989.0,1783.0,1645.0,1800.0,1706.0,1654.0,1688.0,1646.0,1555.0,1374.0,770.0,1575.0,1228.0,36014.0,7202.8
12,ANDALUCÍA,,,10,Tráfico de drogas,Comunidad,3143.0,3472.0,3656.0,4297.0,4683.0,683.0,835.0,924.0,701.0,833.0,921.0,939.0,779.0,836.0,1014.0,1008.0,798.0,965.0,1064.0,1212.0,1056.0,1038.0,1104.0,1314.0,1227.0,19251.0,3850.2
